Sl. No.,contact_name,inserted_at,pothole_duration_months,pothole_landmark_image,pothole_image,pothole_latlong,pothole_roadname,Ward,Zone
,Thaseenakm,2021-01-20 11:34:11,48,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/90132310-1ce8-40c0-8351-5390ae21e042,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/4699c7e1-b0f0-489d-b8af-52ff82f3106c,"12.9785671,77.7690975",Should loyout,83,Mahadevapura
,Thaseenakm,2021-01-20 11:31:38,72,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/43f977b6-13d7-4400-ad61-fa394fa1afa7,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/f5c0d6da-77f6-4c7b-b729-075c520b69b2,"12.9759144,77.7710702",https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/ac48820c-398e-428c-be4c-0036a6d467f1,84,Mahadevapura
,Thaseenakm,2021-01-20 11:20:52,5,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/d2326218-a695-4a6a-99c8-89faa98993d8,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/31344992-c220-4bcf-9a96-e145252fdc55,"12.9768881,77.7663099",https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/c4909adf-4056-4f19-ad97-4f50de34101e,84,Mahadevapura
,Thaseenakm,2021-01-20 11:16:09,84,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/29d8f7df-a799-45dc-9041-623d38c0f506,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/bb1cf3aa-ab3d-4f4f-b6fe-9031faed03c4,"12.9819751,77.7604277",Nagondanahalli,83,Mahadevapura
,Thaseenakm,2021-01-20 11:08:45,5,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/7a033787-cf69-4fba-a943-3892a11d3930,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/5925cf36-4b32-4ba9-b05b-8f0fc5ca69fa,"12.9760269,77.7558368",Vijay Nagar 4cross,84,Mahadevapura
,Thaseenakm,2021-01-20 11:05:10,4,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/3ce2c4c6-7e55-4609-bdcd-d4f5669ad573,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/dc786cfe-87b7-4264-b1a4-e18eaa09d220,"12.9762523,77.7564544",Vijay  Nagar 1 cross,84,Mahadevapura
,Tushar Nagar,2021-01-28 20:37:59,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/b3ba5f21-9b1e-4360-a02f-1b28eee4d23f,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/44b734d6-3c04-4678-b47d-39c91ebc3fba,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/b52bba3b-bc3e-47fc-820f-e7844b5a6215,"12.896922, 77.677993",Owner's Court East Road,150,Mahadevapura
,Uday Shankar R M Advocate,2021-01-13 12:56:08,8,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/132db17b-7460-4eb4-b236-2ddd60e2b106,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/ab2ac28e-2da3-4d91-8961-128a4ca7aa15,"12.990688, 77.539757",7th main next to Florence school ground,100,West
,Uday Shankar R M Advocate,2021-01-13 12:47:36,3,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/52934999-695f-4863-b8b3-0fc0f09f45a0,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/d2f4cff8-21f5-49d6-beaf-640ea5c3cfa2,"12.991920, 77.542725",8th b main 3rd stage 3rd block basweshwaranagar -ward 100,100,West
,Uday Shankar R M Advocate,2021-01-13 12:45:08,4,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/e3bbfd95-168c-4835-bb85-106d38099b6b,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/eb13bdc0-be38-4dc4-8bd9-b9266e266527,"12.991960, 77.542976",8th b main 3rdcross next to varasiddo Vinayaka temple Manjunatha nagar -ward 100,100,West
